n_samples,d,vine_family,correlation_type,rho,mean_corr_error,max_corr_error,marginals_ok,min_ks_pval,true_entropy,entropy_error_proxy
1000,3,c-vine,toeplitz,0.7,0.051380605322682606,0.06763947855147756,True,0.37012017606173,3.583471046350253,0.0033776280445451112
1000,5,c-vine,toeplitz,0.7,0.05920750224213241,0.14119348688619887,True,0.3136800387320582,5.748003559495832,0.020703511270895758
2000,3,c-vine,toeplitz,0.7,0.04236733089383086,0.11229793052561732,True,0.9600764703252387,3.583471046350253,0.009523353933506007
1000,3,d-vine,toeplitz,0.7,0.11243627752282964,0.15093897427803715,True,0.37012017606173,3.583471046350253,0.00544805498546308
1000,3,c-vine,equicorrelation,0.7,0.055318896025159714,0.09012621517816388,True,0.34112475112661245,3.4905771639650327,0.004594659258513212
1000,3,c-vine,toeplitz,0.3,0.11243340159109731,0.25381730680599046,True,0.647814872077161,4.162504920142777,0.0018407422429469467
1000,3,c-vine,toeplitz,0.9,0.186885012523994,0.22456862769250596,True,0.4006338815832625,2.5960843927923674,0.004849866975839556
