n_samples,d,vine_family,correlation_type,rho,corr_max_error,corr_mean_error,corr_rmse,corr_of_corrs,marginals_similar,mean_ks_stat,mean_kendall_diff,mean_spearman_diff,entropy_true,entropy_error
500,3,c-vine,toeplitz,0.3,0.3278034574262414,0.19652762192058001,0.2194907341093192,-0.1066561648779114,True,0.03733333333333333,0.12445156980627921,0.1842464969859879,4.162504920142777,0.40061364962014245
500,3,c-vine,toeplitz,0.6,0.05546338413262064,0.02962968628799671,0.03530615798025827,0.9899551931479995,True,0.05200000000000001,0.023641950567802245,0.03372279089116357,3.810528496985599,0.1387097002058315
500,3,c-vine,toeplitz,0.9,0.2819376595403329,0.20846310048021657,0.21728870912076473,0.47818515159686037,True,0.042,0.2274404316702591,0.2307922897130881,2.5960843927923674,0.799451293201416
500,3,c-vine,equicorrelation,0.3,0.07308177976162261,0.04737931697327202,0.05436508190676807,-0.028858358054268327,True,0.03733333333333333,0.041832999331997335,0.06187730350921402,4.135142470298154,0.2274720927255265
500,3,c-vine,equicorrelation,0.6,0.06529213480569684,0.03054943108960954,0.04055297226996668,-0.5599848050972179,True,0.03333333333333333,0.02155778223112892,0.02641159364637465,3.7347535479219984,0.020240459907244546
500,3,c-vine,equicorrelation,0.9,0.23020701691799306,0.18731348562611838,0.1962879014378746,0.46894031404761,True,0.042666666666666665,0.1851810287241149,0.17195758383033521,2.4690402152105517,0.8842324262492922
500,3,d-vine,toeplitz,0.3,0.31657325629159827,0.12363616175381498,0.1843947069891589,-0.7749276427018793,True,0.036000000000000004,0.10293653974615895,0.14870187480749925,4.162504920142777,0.46653194006924625
500,3,d-vine,toeplitz,0.6,0.19773731326848026,0.12392761245155814,0.14494507114766342,-0.23075954309185973,True,0.04,0.08969405477621906,0.11982342329369318,3.810528496985599,0.2567009721452722
500,3,d-vine,toeplitz,0.9,0.22027079429248542,0.15359340649495282,0.1721534855977827,-0.9553026439962581,True,0.026,0.16338810955243824,0.15986758347033392,2.5960843927923674,0.6993584197392058
500,3,d-vine,equicorrelation,0.3,0.22054465825344827,0.13092813255142824,0.14618718653264118,-0.5580185716945234,True,0.04066666666666666,0.09123383470635549,0.13064107272055922,4.135142470298154,0.041758180758313834
500,3,d-vine,equicorrelation,0.6,0.08943804462839477,0.060355439473189776,0.07036026335035887,0.8666429762095224,True,0.032,0.04745490981963929,0.06049448197792787,3.7347535479219984,0.19075830524502058
500,3,d-vine,equicorrelation,0.9,0.28562175905503717,0.2521552978486701,0.2538131852437283,0.023337981282978416,True,0.034,0.2766480841369389,0.27524701082465275,2.4690402152105517,0.8709416750949317
500,5,c-vine,toeplitz,0.3,0.31308887595057844,0.1972614075502307,0.22776936671553882,0.3130339988521971,True,0.0368,0.13446733466933866,0.19535482941931764,6.906071307080881,0.41904089267565947
500,5,c-vine,toeplitz,0.6,0.11605480780007549,0.04357931692057347,0.05503029275898817,0.942852235938791,True,0.032,0.03849939879759517,0.05391280765123065,6.202118460766524,0.016845405140369252
500,5,c-vine,toeplitz,0.9,0.254312900364414,0.10909215390849089,0.139723702768697,0.719202406363089,True,0.0328,0.11251943887775548,0.12028392113568454,3.77323025238006,0.7418864312257067
500,5,c-vine,equicorrelation,0.3,0.24022915302950304,0.0989775319297547,0.13022887739928932,-0.23965922277240223,True,0.03560000000000001,0.06498436873747494,0.09145254821019284,6.7755714583280335,0.4133661102273978
500,5,c-vine,equicorrelation,0.6,0.11199122476299261,0.030719237768743857,0.04403747063210599,0.337298623264237,True,0.0432,0.03084569138276554,0.03850215400861608,5.8739989180861105,0.051518903610376476
500,5,c-vine,equicorrelation,0.9,0.26592811390812865,0.1382649252432408,0.17112991547320067,-0.5765991125030422,True,0.036399999999999995,0.15486973947895794,0.1452251281005124,3.2525506317827957,1.4052295045997005
500,5,c-vine,block,0.3,0.4112172985373473,0.27973580676220233,0.300413744376033,0.8042961703768235,True,0.032,0.185112625250501,0.26819466957867827,6.925864196971878,0.6354339759470928
500,5,c-vine,block,0.6,0.4796147625559258,0.25752816520408206,0.31066681801708645,0.9372258597370012,True,0.030799999999999994,0.17821563126252501,0.25698677834711336,6.349487063017133,0.42547249977079993
500,5,c-vine,block,0.9,0.5234505284518696,0.3373044328369391,0.36358732411806216,0.9213923209727636,True,0.0336,0.24804488977955907,0.32150933723734887,4.476551678209071,1.1952425515012726
500,5,d-vine,toeplitz,0.3,0.5766503980243877,0.24778951506538513,0.3146892527937507,-0.7876198227670751,True,0.0368,0.1677723446893787,0.24423642974571896,6.906071307080881,0.5263287818378295
500,5,d-vine,toeplitz,0.6,0.4741060016067532,0.17295561760358485,0.22855350220000165,-0.303068485619258,True,0.048400000000000006,0.1257202404809619,0.1726558842235369,6.202118460766524,0.4745878532790089
500,5,d-vine,toeplitz,0.9,0.2690013507132809,0.12328062455069722,0.16306315560067156,-0.694128937636962,True,0.0312,0.12491863727454908,0.12659034956139825,3.77323025238006,1.4488841585076058
500,5,d-vine,equicorrelation,0.3,0.2976498312878538,0.10121990339815627,0.12733200542007334,-0.19931758804482697,True,0.04240000000000001,0.07431182364729458,0.10548575954303815,6.7755714583280335,0.42058338941303663
500,5,d-vine,equicorrelation,0.6,0.04878579996574728,0.027299315747296448,0.031225431567393287,0.30852774234666497,True,0.0424,0.02464769539078156,0.030392780771123083,5.8739989180861105,0.2589728436271006
500,5,d-vine,equicorrelation,0.9,0.27021726232405807,0.17568962729407006,0.190573097449562,0.45795261800468495,True,0.0444,0.170436873747495,0.15979692078768312,3.2525506317827957,1.3411008346992799
500,5,d-vine,block,0.3,0.5473427549402993,0.30484159031301916,0.3702303744840119,-0.2579747392969174,True,0.0268,0.2019078156312625,0.2934619706478826,6.925864196971878,0.5235765052308965
500,5,d-vine,block,0.6,0.6396154972873278,0.33057753203187806,0.38306914104027395,-0.051266691385545814,True,0.0288,0.22766492985971945,0.3225386533546134,6.349487063017133,0.22033293750180238
500,5,d-vine,block,0.9,0.7618313210934636,0.47969637935178094,0.5023651224847862,0.09614217266837403,True,0.0324,0.3723318637274548,0.4809524390097559,4.476551678209071,1.6272166010132567
500,10,c-vine,toeplitz,0.6,0.5061496980413188,0.25611084822624547,0.29287907085377274,0.6785254573542716,True,0.0356,0.18038352260075705,0.25117371722820225,12.18109337021884,0.47420902055752023
500,10,c-vine,toeplitz,0.9,0.24455044922381308,0.044349738334936446,0.06715983474199151,0.8972281721534967,True,0.048,0.03741028724114895,0.0365563190252761,6.716094901349296,2.409225152176594
500,10,c-vine,equicorrelation,0.3,0.45168322919882536,0.15522704918869967,0.20948575204106365,-0.22913341720367092,True,0.0326,0.10985882876864839,0.15249198703461483,13.23851449414752,0.8430050589517997
500,10,c-vine,equicorrelation,0.6,0.21127461825347682,0.06509852506702402,0.08033287214836814,-0.20342849342802402,True,0.0366,0.05659176130037853,0.06790436975081234,10.99422603379584,0.09218500880155034
500,10,c-vine,block,0.3,0.5881196683205522,0.3290404331384822,0.37181485089876315,0.18105964015764492,True,0.037200000000000004,0.22715902916944997,0.321243603907749,13.551142916656067,1.3067666015226198
500,10,c-vine,block,0.6,0.5579270090843524,0.26868901978593535,0.3261416000467541,0.733540805349358,True,0.0502,0.18514611445112447,0.26061394058909565,11.747997836172221,0.827423976921704
