dimension,n_samples,correlation_type,vine_type,parametric_fit_time,nonparametric_fit_time,parametric_entropy,nonparametric_entropy,parametric_corr_error,nonparametric_corr_error,time_ratio,entropy_diff,corr_error_diff
3,300,ar1,c-vine,0.21867728233337402,0.6345899105072021,3.189016175937436,3.481048005109829,0.22520609498387273,0.2493030808586364,2.901947123797562,0.2920318291723931,0.024096985874763666
3,300,ar1,d-vine,0.17421579360961914,0.5075907707214355,3.327983709632018,3.4867944160692708,0.2858516294071849,0.23676254031809585,2.913574941769283,0.1588107064372526,0.049089089089089044
3,300,toeplitz,c-vine,0.2379145622253418,0.4124302864074707,3.4805880089006878,3.434033013554116,0.18402046490935378,0.19305705705705703,1.7335226669178643,0.046554995346571815,0.009036592147703248
3,300,toeplitz,d-vine,0.23056817054748535,0.39211368560791016,3.3639929417713055,3.121509726365264,0.20558692025358688,0.21326571015459905,1.7006410064183366,0.24248321540604145,0.007678789901012173
4,400,block,c-vine,0.14277005195617676,0.4440486431121826,3.5349558924263547,3.7494299159497166,0.10946246246246245,0.10479629629629629,3.1102366149483736,0.21447402352336198,0.0046661661661661635
4,400,block,d-vine,0.20027756690979004,0.41124701499938965,3.6679384459828825,3.8280169565575584,0.1015835835835836,0.15722122122122123,2.053385315913217,0.16007851057467581,0.05563763763763763
